"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_122_013,Marktplatz 1a,,Siehe Plan No. 3.,false,,POINT (2611251.83523717 1267505.9200394754),ungefähr gesetzt,
HGB_1_209_008,Steinenberg Theil von 1 neben 1. Elisabethenstrasse.,,Siehe Plan No. 4.,false,,POINT (2611534.423342206 1266994.8430244518),,
HGB_1_227_031,Webergasse Th. v. 21 hinterer Theil,,"Die verschiedenen Räder gehören verschiedenen Eigentümern. 
Seit 1411. Vorher siehe 19/21. Seit 1431 mit Einschluss von 19. Bis [...]. Nachher siehe Th. v. 21 hinterer Theil neben 19 u. 19 u. Th. v. 21 neben 23.",false,,POINT (2611488.37551158 1267955.967573455),,
HGB_1_227_032,Webergasse Th. v. 21 vorderer Theil,,"Seit 1411. Vorher siehe 19, 21 vereinigt.",false,,POINT (2611488.37551158 1267955.967573455),,
HGB_1_227_033,Webergasse Th. v. 21 hinterer Theil neben 19 u. 19,,Seit [...]. Vorher siehe Th. v. 21 hinterer Theil. Bis 1667. Nachher siehe 21 u. 19.,false,,POINT (2611488.37551158 1267955.967573455),,
HGB_1_227_045,Webergasse Th. v. 37 Mitte u. Ecke,"281",Seit 1452. Vorher siehe 37 ganz.,false,,POINT (2611545.5806925385 1267976.9091134246),,
HGB_1_227_047,Webergasse Th. v. 37 Ecke,Th. v. 281 Ecke,Seit 1705. Vorher siehe Th. v. 37 Mitte u. Ecke. Bis 1768. Nachher siehe Th. v. 37 Mitte u. Ecke.,false,,POINT (2611545.5806925385 1267976.9091134246),,
HGB_1_227_048,Webergasse Th. v. 37 Mitte,Th. v. 281 neben 282,Seit 1705. Vorher siehe Th. v. 37 Mitte u. Ecke. Bis 1768. Nachher siehe Th. v. 37 Mitte u. Ecke.,false,,POINT (2611545.5806925385 1267976.9091134246),,
HGB_1_074_066,"Hebelstrasse Theil von 4, 3tes u. 4tes Haus v. 2",,"Bis 1401. Nachher siehe Th. v. 4, 3tes u. 4tes Haus getrennt.",false,,POINT (2610926.171095945 1267746.9662066794),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_065,"Hebelstrasse Theil v. 4, 4tes Haus v. 6",,"Bis 1534. Nachher siehe Th. v. 4, 2tes, 3tes u. 4tes Haus v. 6 vereinigt.",false,,POINT (2610926.600594043 1267747.1809557285),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_001_029,Aeschengraben 24,Theil von 972,Seit 1507. Vorher siehe Sternengässlein 31. Bis 1516. Nachher siehe 20/24.,false,,POINT (2611619.94142702 1266640.5233567972),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_050_036,"Eisengasse 2, 4",,Bis 1373. Nachher siehe Eisengasse 2 u. Schifflände 1 u. Eisengasse 4.,false,,POINT (2611284.2629606803 1267659.5100934436),,
HGB_1_058_130,"Freie Strasse Theil von 12, erstes Haus von 14",,Bis 1446. Nachher siehe Th. v. 12/1634 neben 14/1633.,false,,POINT (2611310.6013859278 1267396.5943545974),,
HGB_1_058_052,Freie Strasse Theil von 51,"1435 (im Adressbuch v. 1862 mit 1436 vereinigt)",Bis 1785. Nachher siehe 1435 u. 1436 vereinigt.,false,,POINT (2611408.880195439 1267278.9871398073),,
HGB_1_063_014,Gerbergasse Theil von 1,"1646","Bis 1817. Nachher siehe 1 alt 1645 u. 1646 u. 3/1647, vereinigt.",false,,POINT (2611246.53095841 1267442.4972386577),,
HGB_1_066_053,"Greifengasse Th. v. 18, Ecke","392",,false,,POINT (2611541.238277452 1267823.460724635),,
HGB_1_091_120,St. Johanns-Vorstadt Th. v. 22 neben 20,"52",,false,,POINT (2611007.2487970446 1268057.0092006626),,
HGB_1_091_081,St. Johanns-Vorstadt 53,,Seit 1624. Vorher nicht 53-55 vereinigt. Bis 1702. Nachher eickl. 59-59 vereinigt.,false,,POINT (2610856.858485903 1268249.8200045808),,
HGB_1_091_094,"St. Johanns-Vorstadt 69, 71","2 B, 2 A","Seit 1590. Vorher siehe 69, 71 getrennt. Bis 1668. Nachher siehe 67, 69, 71 vereinigt. Siehe Plan No. 4.",false,,POINT (2610860.201004344 1268296.4028310524),,
HGB_1_056_041,Fischmarkt 8c,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611164.7104415605 1267601.8206231347),ungefähr gesetzt,
HGB_1_028_017,Blumenrain 1b,,Siehe Plan No. 5. Bis 1550. Nachher siehe 1a.,false,,POINT (2611196.341498096 1267719.0014988114),ungefähr gesetzt,
HGB_1_028_016,Blumenrain 1a (Hinterhaus),,"Bis 1417. Nachher siehe 1a, ganz. Siehe Plan No. 5.",false,,POINT (2611196.341498096 1267719.0014988114),ungefähr gesetzt,
HGB_1_028_015,Blumenrain 1a (mittleres Haus),,"Bis 1417. Nachher siehe 1a, ganz.",false,,POINT (2611196.341498096 1267719.0014988114),ungefähr gesetzt,
HGB_1_028_013,Blumenrain 1a,,"Seit 1417. Vorher siehe 1a Vorder-, Mittel- u. Hinterhaus. Seit 1550 mit Einschluss von 1b. Abgebrochen 1590. Siehe Plan No. 5.",false,,POINT (2611196.341498096 1267719.0014988114),ungefähr gesetzt,
HGB_1_024_098,Barfüsserplatz Theil von 10 C,,Bis [...]. Nachher siehe 10 ganz.,false,,POINT (2611299.914648653 1267083.1894817003),ungefähr gesetzt,
HGB_1_028_029,"Blumenrain Theil von 11a, Ecke.",,Siehe Plan No. 5. Bis 1604. Nachher siehe 11a.,false,,POINT (2611192.533551285 1267769.6354853376),ungefähr gesetzt,
HGB_1_024_099,Barfüsserplatz Theil von 10 D,,Bis [...]. Nachher siehe 10 ganz.,false,,POINT (2611299.914648653 1267083.1894817003),ungefähr gesetzt,
HGB_1_024_096,Barfüsserplatz Theil von 10 A,,Bis [...]. Nachher siehe 10 ganz.,false,,POINT (2611300.266406915 1267083.1894817003),ungefähr gesetzt,
HGB_1_024_100,Barfüsserplatz Theil von 10 E,,Bis [...]. Nachher siehe 10 ganz.,false,,POINT (2611300.090527784 1267083.1894817003),ungefähr gesetzt,
HGB_1_098_011,Klingental (bei) 1,"310 A",,false,,POINT (2611448.0110635385 1267969.1749949425),genau gesetzt,
HGB_1_056_040,Fischmarkt 8b,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611163.7912927233 1267602.9240001778),ungefähr gesetzt,
HGB_1_008_061,St. Alban-Tal 40 A,,Siehe Plan No. 4.,false,,POINT (2612376.551081083 1267056.1562577256),ungefähr gesetzt,
HGB_1_056_039,Fischmarkt 8a,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611163.7912927233 1267602.9240001778),ungefähr gesetzt,
HGB_1_028_064,Blumenrain 22a,,,false,,POINT (2611169.1332165957 1267825.0174139552),ungefähr gesetzt,
HGB_1_028_031,Blumenrain 13a,,Siehe Plan No. 4. Abgebrochen 1787.,false,,POINT (2611176.344640156 1267793.5385434055),ungefähr gesetzt,
HGB_1_056_024,Fischmarkt 15a,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611178.7560951533 1267637.6664723938),ungefähr gesetzt,
HGB_1_001_038,Aeschengraben 34,Theil von 900,Bis    1492. Nachher siehe Elisabethenstrasse 43/45.,false,,POINT (2611568.037320906 1266589.7260139578),grob geschätzt,
HGB_1_001_028,"Aeschengraben 20, 24",Theil von 972,"Seit 1516. Vorher siehe 20 und 24, gennent bis 1653. Nachher siehe Steinengässlein 23, 27.",false,,POINT (2611636.563319406 1266658.8446067385),ungefähr gesetzt,
HGB_1_188_018,Schützengraben 39,"139 C (Bann)","",true,genau gesetzt,POINT (2610698.432077809 1267340.2580133742),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_074_078,Hebelstrasse Theil von 10 neben 12,,,false,,POINT (2610855.8780882927 1267778.378615749),,Dossier ist Teil von Hebelstrasse.
HGB_1_001_036,Aeschengraben 32,Theil von 970,Bis 1763. Nachher siehe Sternengässlein 33.,false,,POINT (2611581.4341485244 1266602.0160783015),genau gesetzt,
HGB_1_001_034,Aeschengraben 30,Theil von 971,Bis 1656. Nachher siehe Sternengässlein 29/31.,false,,POINT (2611587.0239147577 1266613.195610768),genau gesetzt,
HGB_1_024_097,Barfüsserplatz Theil von 10 B,,Bis [...]. Nachher siehe 10 ganz.,false,,POINT (2611299.914648653 1267083.0136025692),ungefähr gesetzt,
HGB_1_001_027,Aeschengraben 20,Theil von 972,"mit Einschluss von Hirschgasse 17 seit [...]. Bis 1516, nachher siehe 20/24.",false,,POINT (2611634.7500621113 1266658.8446067385),ungefähr gesetzt,
HGB_1_122_007,Marktplatz: Dohlen,"","",true,ungefähr gesetzt,POINT (2611246.8033984774 1267479.0417203307),ungefähr gesetzt,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_001_039,Aeschengraben 36-46,Theil von 900,Bis 1455. Nachher siehe Elisabethenstrasse 59.,false,,POINT (2611375.7823495693 1266485.9747627669),ungefähr gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_074_026,Hebelstrasse 11 / 13,"259 A, 259 Aa, 259 Ab",Bis 1499. Nachher siehe 11/13/15 vereinigt.,false,,POINT (2610855.7744320934 1267763.0074705698),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_009_001,St. Alban-Teich,,,false,,POINT (2611721.366300899 1267284.028083209),ungefähre Ortsangabe,Kein Dossier aus selber Strasse.
HGB_1_010_016,St. Alban-Vorstadt: Alter Stadtgraben vom St. Albangraben zur Malzgasse,,,false,,POINT (2612382.770767389 1266968.3985817153),ungefähre Ortsangabe,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_004_008,St. Albanthorgraben 11,"1006 B",S. auch Brunngässlein No. 24/ 26/ alt 1006.,false,,POINT (2611847.8880472155 1266816.23586804),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_028_047,Blumenrain / Schifflände 6,"122",,false,,POINT (2611249.916012931 1267714.7839611918),genau gesetzt,Kein Dossier aus selber Strasse.
HGB_1_120_065,Malzgasse 28,"1248B","",true,genau gesetzt,POINT (2611886.4022041433 1266867.5266867331),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_063_012,Gerbergasse: Unbestimmte Liegenschaften,"","",true,ungefähre Ortsangabe,POINT (2611271.382078675 1267359.0147554334),ungefähre Ortsangabe,"06.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_010_075,St. Alban-Vorstadt Theil von 49,"1320","1361-1420 3 Theile eingenommen Ecke, Mitte neben 51. Bis 1840. nachher siehe 49/1320-22.",false,,POINT (2611966.4462414193 1267098.8014346359),genau gesetzt,
HGB_1_010_148,St. Alban-Vorstadt 78,"1269 + A",,false,,POINT (2612112.7567461724 1267043.440150165),genau gesetzt,
HGB_1_010_150,St. Alban-Vorstadt 80,"1269 C",,false,,POINT (2612125.3443791578 1267038.824684737),genau gesetzt,
HGB_1_051_085,Elisabethenstrasse 30,"894",,false,,POINT (2611464.6488600946 1266739.7397793788),genau gesetzt,
HGB_1_051_087,Elisabethenstrasse 32,"894 A",[...]-1488.,false,,POINT (2611464.6488600946 1266730.4820686176),genau gesetzt,
HGB_1_008_030,St. Alban-Tal 31,"1287","Seit 1484. Vorher siehe 25/ 31, vereinigt. Ab ca. 1852 siehe 31/1287, 25/1288 wieder vereinigt.",false,,POINT (2612425.536142574 1267158.3772835662),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_002_133,Aeschenvorstadt (Aeschentor),"999",Abgebrochen 18[..].,false,,POINT (2611752.2439218066 1266765.303924648),ungefähre Ortsangabe,
HGB_1_051_012,Elisabethenstrasse: beim Gutenhof,,,false,,POINT (2611525.7758803433 1266952.9325947997),ungefähre Ortsangabe,
HGB_1_051_013,Elisabethenstrasse: beim Klosterberg,,,false,,POINT (2611477.6614949815 1266821.2370866167),ungefähre Ortsangabe,
HGB_1_051_026,Elisabethenstrasse 13,"918 A","1/2 Becher Bohnen.",false,,POINT (2611527.320271312 1266922.104394905),genau gesetzt,
HGB_1_010_166,St. Alban-Vorstadt 104,"1275 A",,false,,POINT (2612281.7026523077 1266990.0932924245),genau gesetzt,
HGB_1_008_040,St. Alban-Tal 53,,Siehe Plan No. 5.,false,,POINT (2612381.6317895562 1266996.4071260802),ungefähr gesetzt,
HGB_1_008_039,St. Alban-Tal 51,,Siehe Plan No. 5. Abgebrochen [...].,false,,POINT (2612401.240400673 1266998.8132203296),ungefähr gesetzt,
HGB_1_006_008,"St. Alban-Kirchrain 6, 8",,"Seit 1844. Vorher siehe 6, 8, 10, vereinigt.",false,,POINT (2612328.100033281 1267010.1561182376),genau gesetzt,
HGB_1_006_007,"St. Alban-Kirchrain 6, 8, 10",,"Bis 1844. Nachher siehe 6/ 8 und 10, getrennt.",false,,POINT (2612327.1709778123 1267010.1561182376),genau gesetzt,
HGB_1_008_018,"St. Alban-Tal 21, laut dem löfflerschen Stadtplan","1293","abgebrochen, it. R. R. B. q. IV. 1884.",false,,POINT (2612364.8179369196 1267148.1532074227),genau gesetzt,
HGB_1_008_062,"St. Alban-Tal 42 (Allmend bei 44, 46)",,Bis 1547. Später Allmend.,false,,POINT (2612379.5995061668 1267041.5238173224),ungefähr gesetzt,
HGB_1_014_043,"Augustinergasse 4, 6, 8","1473 und 1488",Bis 1419. Nachher siehe 6/8 vereinigt.,false,,POINT (2611453.499862515 1267428.0664809272),genau gesetzt,
HGB_1_014_042,Augustinergasse 4,"1488 + 1488 A","Seit 1419. Vorher siehe 4, 6, 8 vereinigt.",false,,POINT (2611453.2021122067 1267427.470980311),genau gesetzt,
HGB_1_122_009,Marktplatz: Messhäuslein,,,false,,POINT (2611243.4261044585 1267485.9841276368),ungefähre Ortsangabe,
HGB_1_056_028,Fischmarkt 17c,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611176.9498343333 1267614.7528375485),ungefähr gesetzt,
HGB_1_035_011,"Brunngässlein 22, Theil von Aeschenvorstadt 55 (Garten beim Brunngässlein 24/26)",Theil von Aeschenvorstadt 1014 (Garten beim Brunngässlein 24/26),Bis 1786. Nachher siehe Aeschenvorstadt 55/1014.,false,,POINT (2611790.4257502863 1266895.852336336),ungefähr gesetzt,Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_056_027,Fischmarkt 17b,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611177.593232423 1267619.3638571938),ungefähr gesetzt,
HGB_1_056_026,Fischmarkt 17a,,Besteht nicht mehr! Siehe Plan No. 4.,false,,POINT (2611178.2366305133 1267623.8676438243),ungefähr gesetzt,
HGB_1_017_011,Badergässlein Th. v. 5 neben Ochsengasse 17,"327","Bis 1813, nachher siehe 5.",false,,POINT (2611488.0334464596 1267908.2467726415),genau gesetzt,
HGB_1_017_013,Badergässlein 6,"325",,false,,POINT (2611479.7777292095 1267899.3216729115),genau gesetzt,
HGB_1_017_007,Badergässlein 1,"330",,false,,POINT (2611470.8526294795 1267901.1066928576),genau gesetzt,
HGB_1_017_017,"Badergässlein 10, 12",Th. v. 326,"Bis [...], nachher siehe 8, 10, 12 vereinigt.",false,,POINT (2611489.149083926 1267902.222330324),genau gesetzt,
HGB_1_004_006,St. Albanthorgraben 1,"1001",Seit 1737. Vorher siehe Aeschenvorstadt 79.,false,,POINT (2611761.625687721 1266783.6840342686),genau gesetzt,
HGB_1_017_009,Badergässlein 5,"327, 328","Seit 1813, vorher siehe TH. v. 5 neben 3 u. Th. v. 5 neb. Ochseng. 17 getrennt.",false,,POINT (2611487.201111434 1267907.8270072516),genau gesetzt,
HGB_1_017_008,Badergässlein 3,"329",,false,,POINT (2611478.9129142133 1267904.6579906673),genau gesetzt,
HGB_1_017_018,Badergässlein 14,"353",,false,,POINT (2611501.827341824 1267907.0956957322),genau gesetzt,
HGB_1_017_012,"Badergässlein 2, 4","324",,false,,POINT (2611465.505536356 1267893.4445473684),genau gesetzt,
HGB_1_017_016,"Badergässlein 8, 10, 12","326","Seit [...], vorher siehe 8 und 10, 12 getrennt.",false,,POINT (2611485.2509473823 1267901.0014330698),genau gesetzt,
HGB_1_004_007,St. Albanthorgraben 3,"1000",Seit 1747. Vorher siehe Aeschenvorstadt 79.,false,,POINT (2611773.1668015597 1266784.8068836508),genau gesetzt,
HGB_1_008_008,St. Alban-Tal: St. Albanthal,,,false,,POINT (2612393.061293972 1267050.517779487),ungefähre Ortsangabe,
HGB_1_008_010,St. Alban-Tal: Quartier,,,false,,POINT (2612393.061293972 1267050.517779487),ungefähre Ortsangabe,
HGB_1_008_009,St. Alban-Tal: Stadtmauer und Graben,,,false,,POINT (2612393.061293972 1267050.517779487),ungefähre Ortsangabe,
HGB_1_008_012,St. Alban-Tal: Nachträge,,,false,,POINT (2612392.7056854437 1267050.517779487),ungefähre Ortsangabe,
HGB_1_008_011,St. Alban-Tal: Säge = Sägmühle = Sena,,,false,,POINT (2612393.4169025007 1267050.8733880152),ungefähre Ortsangabe,
HGB_1_010_017,St. Alban-Vorstadt: Quartier,,,false,,POINT (2612058.6794844847 1267065.5295726932),ungefähre Ortsangabe,
HGB_1_010_025,"St. Alban-Vorstadt: innerhalb Bridenthor, gerade Hausnummern",,,false,,POINT (2611917.8317142394 1267104.487466591),ungefähre Ortsangabe,
HGB_1_010_018,St. Alban-Vorstadt: Bridenthor,,,false,,POINT (2612027.2134932596 1267072.2722850987),grob geschätzt,
HGB_1_010_028,St. Alban-Vorstadt: Ausserhalb Bridenthor,,,false,,POINT (2612197.279683928 1267024.3241079939),ungefähre Ortsangabe,
HGB_1_026_002,Birsig: Flussbett und Ufer,,Flussarm in der Steinenthorstrasse siehe dort.,false,,POINT (2611530.8360320968 1267374.2133685302),nicht lokalisierbar,
HGB_1_189_040,Schützenmattstrasse 37,"140 A","",true,genau gesetzt,POINT (2610693.88965509 1267211.6968730234),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_131_011,Mühlenberg,"1326",Abgebrochen.,true,ungefähre Ortsangabe,POINT (2612076.325722635 1267118.3445493744),ungefähre Ortsangabe,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_079_036,"Unterer Heuberg 27 (laut Löffelschem Stadtplan 27, 29)","399 B",Siehe Plan No. 3.,false,,POINT (2611186.5512862355 1267267.944878575),genau gesetzt,
HGB_1_078_045,Heuberg 14,"441 A",Seit 1590. Vorher siehe 14 u. Th. v. 16 neben 14 vereinigt.,false,,POINT (2611059.616759018 1267304.8308520452),genau gesetzt,
HGB_1_086_009,Imbergässlein 3,"590 a","Seit 1284, vorher siehe Schneiderg. 20, 22 u. Imberg. 1, 3, 5, 7 vereinigt. 
Bis 1318, nachher siehe Schneidergasse 22.",false,,POINT (2611132.639173826 1267486.156375476),genau gesetzt,
HGB_1_066_014,Greifengasse 1,"378 / 378 A","Seit 1567. Vorher siehe Th. v. 1, Ecke am Rhein, Th. v. 1, Ecke an der Greifengasse und Th. v. 1, Ecke an d. Greifeng. ob. Th. v. 1 neben unt. Theingasse 3. Siehe Plan No. 3.",false,,POINT (2611471.790105735 1267802.0199573135),genau gesetzt,
HGB_1_066_016,"Greifengasse Theil v. 1, Ecke an der untern Rheingasse unt. Thl.","Theil v. 378, Ecke an der untern Rheingasse unt. Thl.",Bis 1567. Nachher siehe 1/378. Siehe Plan No.3.,false,,POINT (2611468.143566821 1267799.2850531281),genau gesetzt,
HGB_1_066_017,"Greifengasse Theil v. 1, Ecke am Rhein","Theil v. 378, Ecke am Rhein",Bis 1567. Nachher siehe 1/378. Siehe Plan No. 3.,false,,POINT (2611461.7621237217 1267795.6385142142),genau gesetzt,
HGB_1_066_018,"Greifengasse Theil v. 1, neben unt. Rheingasse 3/ 377","Theil v. 378, neben unt. Rheingasse 3/ 377",Bis 1567. Nachher siehe 1/378. Siehe Plan No. 3.,false,,POINT (2611464.952845271 1267797.461783671),genau gesetzt,
HGB_1_082_010,"Hirschgasse 13, 15, 17","Theil von 985, Theil von 972",Bis 1394. Nachher siehe 13/15 und 17.,false,,POINT (2611627.7518367963 1266723.324265307),genau gesetzt,
HGB_1_196_021,Spalentorweg 22,"","",true,grob geschätzt,POINT (2610641.0045684166 1267344.1270391247),grob geschätzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_091_153,St. Johanns-Vorstadt 70,"15-16",Bis 1642. Nachher siehe Th. v. 70 neben 68 u. Th. v. 70 neben 72 getrennt.,false,,POINT (2610904.1059248205 1268251.9239315914),genau gesetzt,
HGB_1_091_020,St. Johanns-Vorstadt: wahrscheinlich Theile v. 61,,,false,,POINT (2610876.1694781217 1268269.935588016),genau gesetzt,
HGB_1_122_039,Marktplatz 17,"1734A",Ab 1830 (?) siehe Marktplatz 14.,false,,POINT (2611214.5336690233 1267494.6959918796),genau gesetzt,
HGB_1_074_083,Hebelstrasse 14,"260 A","Bis 1621. Nachher siehe 12, 14 vereinigt.",false,,POINT (2610829.2681911956 1267791.1119226136),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_093_010,Karthausgasse 5,"129","Seit 1758. Vorher siehe 5, 7 vereinigt.",false,,POINT (2611845.8073796555 1267600.6280553432),genau gesetzt,
HGB_1_092_008,"Kanonengasse 3, 5, 7, 9","754",Seit 1500 bis 1749. Nachher siehe 3 bis 19 u. Kohlenberggasse 24-28 vereinigt.,false,,POINT (2611190.8997857543 1267018.4470449742),genau gesetzt,
HGB_1_092_007,Kanonengasse 3 / 5 bis 19 u. Kohlenberggasse 24-28,"753, 754",Seit 1749. Vorher siehe 3 bis 9 u. 11 bis 15 getrennt.,false,,POINT (2611190.8997857543 1267018.1882727486),genau gesetzt,
HGB_1_092_010,Kanonengasse 9,"754 L","Bis 1500. Nachher siehe 3, 5, 7, 9 vereinigt. Ab 1843 wieder hier.",false,,POINT (2611174.338363315 1267007.837383724),genau gesetzt,
HGB_1_093_008,"Karthausgasse 1, 3","127, 128",Siehe Plan No. 3.,false,,POINT (2611831.713098352 1267610.0242428791),genau gesetzt,
HGB_1_092_015,"Kanonengasse 17, 19 u. Kohlenberggasse 24","754","Seit 1484. Vorher siehe 17, 19 u. Steinengraben 21, 23 vereinigt. Bis 1592.",false,,POINT (2611137.0477329795 1266985.8466929835),genau gesetzt,
HGB_1_092_011,Kanonengasse 11,"754 M","Bis 1477. Nachher siehe 11, 13, 15 vereinigt. Ab 1843 wieder hier.",false,,POINT (2611165.484936003 1267002.1924059454),genau gesetzt,
HGB_1_082_007,Hirschgasse 9,Theil von 985,Bis [...]. Nachher siehe 5/9/13/15. Nachher wieder getrennt.,false,,POINT (2611641.989949384 1266741.7602341322),genau gesetzt,Kein Dossier aus selber Strasse innerhalb 20m. Kein Dossier aus selber Strasse innerhalb 20m.
HGB_1_092_017,Kanonengasse 19,"754","Seit 1439. Vorher siehe Th. v. 19 neben 17 u. Th. v. 19 Ecke getrennt. Bis 1450. Nachher siehe 17, 19 u. Steinengraben 21, 23 vereinigt. Ab 1846 wieder hier.",false,,POINT (2611129.284533732 1266981.1447211641),genau gesetzt,
HGB_1_196_023,Spalentorweg 26,"","",true,grob geschätzt,POINT (2610637.984605008 1267338.0871123066),grob geschätzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_092_012,"Kanonengasse 11, 13, 15","754",Seit 1477. Vorher siehe 11 u. 13/15 getrennt. Bis 1749. Nachher siehe 3-19 vereinigt.,false,,POINT (2611165.333602344 1267002.7034758942),genau gesetzt,
HGB_1_074_028,"Hebelstrasse 13, 15","259 Aa, 259 B",Seit 1556. Vorher siehe 11/13/15 vereinigt. Bis 1665. Nachher siehe 9-15 vereinigt.,false,,POINT (2610838.296953508 1267768.5000336717),genau gesetzt,Dossier ist Teil von Hebelstrasse.
HGB_1_074_006,Hebelstrasse: St. Peterszinse,,,false,,POINT (2610856.045062678 1267770.4344559328),ungefähre Ortsangabe,Dossier ist Teil von Hebelstrasse.
HGB_1_092_025,Kanonengasse 8,Theil v. 750,Bis 1526. Nachher siehe S. Leonhardsstrasse 1.,false,,POINT (2611201.0777580235 1267041.7883190566),grob geschätzt,
HGB_1_015_020,Austrasse 50,"167 A (Bann)","",true,genau gesetzt,POINT (2610722.17254753 1267048.8531073586),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_092_024,Kanonengasse 6,Theil v. 750,Bis 1508. Nachher siehe S. Leonhardsstrasse 1.,false,,POINT (2611209.945323023 1267048.6095229022),grob geschätzt,
HGB_1_082_009,"Hirschgasse 5, 9, 13, 15","985","Seit [...]. Vorher und nachher siehe 5, 9 und 13/15 getrennt.",false,,POINT (2611658.2232806254 1266767.8597296895),genau gesetzt,
HGB_1_058_113,Freie Strasse,Theil von 1641 neben 1642,Siehe plan No. 3. Bis 1661. Nachher siehe 1641.,false,,POINT (2611282.8036878635 1267434.3400396148),ungefähre Ortsangabe,
HGB_1_082_011,Hirschgasse 17,Theil von 972,"Seit 1394. Vorher siehe 13, 15, 17. Bis [...]. Nachher siehe Aeschengraben 20/22.",false,unclear,POINT (2611615.581425507 1266709.2271789017),ungefähre Ortsangabe,
HGB_1_092_009,Kanonengasse 7,"754 K","Bis 1500. Nachher siehe 3, 5, 7, 9 vereinigt. Ab 1843 wieder hier.",false,,POINT (2611180.383668856 1267010.855595255),genau gesetzt,
HGB_1_092_016,"Kanonengasse 17, 19 u. Steinengraben 21, 23","754","Seit 1450. Vorher siehe 19 u. 17 getrennt. Bis 1484. Nachher siehe 17, 19 vereinigt.",false,,POINT (2611137.4282706855 1266985.7721510676),genau gesetzt,
HGB_1_168_078,Riehentorstrasse Th. v. 32,"139 A",Brannhaus oben beim Riehenthor.,true,genau gesetzt,POINT (2611892.8806415275 1267691.8814250275),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_093_011,"Karthausgasse 5, 7","129, 130","Seit [...]. Vorher siehe 5, 7, 9 vereinigt. Bis 1758. Nachher siehe 5, 7 getrennt. Siehe Plan No. 3.",false,,POINT (2611845.8073796555 1267600.0407936221),genau gesetzt,
HGB_1_093_009,Karthausgasse 3,"128","Seit 1706. Vorher siehe 1, 3 vereinigt. Bis 1767. Nachher siehe 1, 3 vereinigt. Siehe Plan No. 3. Ab 1858 wieder getrennt.",false,,POINT (2611841.109285888 1267603.3686100412),genau gesetzt,
HGB_1_058_112,Freie Strasse,Theil von 1641 neben 1640 und 1640,"Siehe Plan No. 3. Bis 1412. Nachher siehe Th. v. 1641 neben 1640, sowie 1640.",false,,POINT (2611286.4548239564 1267430.1080409621),ungefähre Ortsangabe,
HGB_1_189_045,Schützenmattstrasse 49,"170 (Bann)","",true,genau gesetzt,POINT (2610597.9453238975 1267092.7107930004),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
HGB_1_189_058,Schützenmattstrasse 10 / 12,"329-330",Seit 1807. Vorher siehe 330 Th. v. 12 u. 329 (= 10 u. Th. v. 12 neb. 10) getrennt.,true,genau gesetzt,POINT (2610816.086470607 1267388.6650587083),genau gesetzt,"26.11.2025: Ergänzung neuer Dossier aufgrund zusätzlicher Transkriptionen"
