"dossierid","title","oldhousenumber","descriptivenote","zu_kontrollieren","begruendung","location","kategorie","bemerkung"
HGB_1_085_010,Hutgasse Laden unter 1,Laden unter 1667,Bis 1530. Nachher siehe 1/1667.,false,,POINT (2611228.223612671 1267445.9995339967),,
HGB_1_085_021,Hutgasse 17,"1675-76",Bis 1470. Nachher siehe 1675 / Th. v. 17 und 1676 Th. v. 17. Später wieder zusammen (ab 1830?). Siehe Münzgässlein Plan 3.,false,,POINT (2611190.115167866 1267436.1093489425),,
HGB_1_136_010,"Münzgasse Theil von 3, Hinterhaus","Theil von 1679, Hinterhaus","Bis 1415. Nachher siehe 3/1679, ganz. Siehe Plan No. 3.",false,,POINT (2611173.283788494 1267411.8690167116),,
HGB_1_136_019,"Münzgasse 7, 9","Theil von 1680, 1681",Bis 1422. Nachher siehe 7/ Th. v. 1680 und 9/1681 getrennt.,false,,POINT (2611175.602029219 1267400.5919653482),,
HGB_1_085_030,"Hutgasse Theil von 23, Ecke","Theil von 1714, Ecke",Bis 1774. Nachher siehe 23/1714.,false,,POINT (2611161.833685364 1267430.561000405),,
HGB_1_204_052,"Stadthausgasse Theil von 10, neben 4, 6, 8","Theil von 172, neben 4, 6, 8",Bis 1775. Nachher siehe 10/172.,false,,POINT (2611158.032537264 1267567.1301278532),,
HGB_1_204_053,"Stadthausgasse Theil von 10, neben 12/171","Theil von 172, neben 12/171",Bis 1775. Nachher siehe 10/172.,false,,POINT (2611158.032537264 1267567.1301278532),,
HGB_1_154_031,"Rebgasse Th. v. 21, 1. Th. v. 23","Th. v. 172, 1. Th. v. 171",Bis 1520. Nachher siehe Th. v. 21 neben 23.,false,,POINT (2611777.391281375 1267736.1424044347),,
HGB_1_154_032,"Rebgasse Th. v. 21, 2. Th. v. 23","Th. v. 172, 2. Th. v. 171",Bis 1520. Nachher siehe Th. v. 21 neben 23.,false,,POINT (2611777.391281375 1267736.1424044347),,
HGB_1_085_033,"Hutgasse Theil von 2, Ecke","Theil von 1728, Ecke",Bis 1549. Nachher siehe 2/1728.,false,,POINT (2611220.986578286 1267451.6655618332),,
HGB_1_085_034,"Hutgasse Theil von 2, Mitte an d. Hutgasse","Theil von 1728, Mitte an d. Hutgasse","Seit 1438. Vorher siehe Th. v. 2, Mitte an d. Hutg. und neben 4, vereinigt. Bis 1454. Nachher siehe Th. v. 2, Mitte an d. Hutg. und neben 4, vereinigt.",false,,POINT (2611220.986578286 1267451.6655618332),,
HGB_1_085_037,"Hutgasse Theil von 2, Mitte am Marktplatz","Theil von 1728, Mitte am Marktplatz",Bis 1490. Nachher siehe Th. v. 2 Mitte am Marktplatz und neben Marktplatz 9.,false,,POINT (2611220.986578286 1267451.6655618332),,
HGB_1_085_035,"Hutgasse Theil von 2, Mitte an d. Hutgasse und neben 4","Theil von 1728, Mitte an d. Hutgasse und neben 1727",Bis 1549. Nachher siehe 2/1728.,false,,POINT (2611220.986578286 1267451.6655618332),,
