nodeID1,nodeID2
HGB_1_153_012,HGB_1_153_011
HGB_1_153_012,HGB_1_153_013
HGB_1_154_047,HGB_1_154_048
HGB_1_154_047,HGB_1_154_046
HGB_1_155_039,HGB_1_155_038
HGB_1_155_039,HGB_1_155_040
HGB_1_159_132,HGB_1_159_133
HGB_1_159_132,HGB_1_159_131
HGB_1_159_043,HGB_1_159_042
HGB_1_159_044,HGB_1_159_042
HGB_1_159_126,HGB_1_159_127
HGB_1_159_126,HGB_1_159_125
HGB_1_160_029,HGB_1_160_028
HGB_1_160_030,HGB_1_160_028
HGB_1_160_033,HGB_1_160_032
HGB_1_160_034,HGB_1_160_032
HGB_1_161_033,HGB_1_161_032
HGB_1_161_034,HGB_1_161_032
HGB_1_170_025,HGB_1_170_024
HGB_1_170_026,HGB_1_170_024
HGB_1_170_028,HGB_1_170_027
HGB_1_170_029,HGB_1_170_027
HGB_1_168_063,HGB_1_168_064
HGB_1_168_063,HGB_1_168_062
HGB_1_168_040,HGB_1_168_039
HGB_1_168_041,HGB_1_168_039
HGB_1_172_015,HGB_1_172_014
HGB_1_172_015,HGB_1_172_016
HGB_1_176_017,HGB_1_176_018
HGB_1_176_017,HGB_1_176_016
HGB_1_177_024,HGB_1_177_023
HGB_1_177_025,HGB_1_177_023
HGB_1_177_037,HGB_1_177_036
HGB_1_177_038,HGB_1_177_036
HGB_1_184_011,HGB_1_184_010
HGB_1_184_011,HGB_1_184_012
HGB_1_184_065,HGB_1_184_064
HGB_1_184_066,HGB_1_184_064
HGB_1_189_067,HGB_1_189_066
HGB_1_189_068,HGB_1_189_066
HGB_1_194_028,HGB_1_194_027
HGB_1_194_029,HGB_1_194_027
HGB_1_194_059,HGB_1_194_058
HGB_1_194_060,HGB_1_194_058
HGB_1_194_097,HGB_1_194_096
HGB_1_194_098,HGB_1_194_096
HGB_1_194_113,HGB_1_194_112
HGB_1_194_114,HGB_1_194_112
HGB_1_194_066,HGB_1_194_065
HGB_1_194_067,HGB_1_194_065
HGB_1_194_034,HGB_1_194_033
HGB_1_194_034,HGB_1_194_035
HGB_1_197_060,HGB_1_197_059
HGB_1_197_061,HGB_1_197_059
HGB_1_197_024,HGB_1_197_023
HGB_1_197_025,HGB_1_197_023
HGB_1_197_015,HGB_1_197_014
HGB_1_197_016,HGB_1_197_014
HGB_1_197_030,HGB_1_197_029
HGB_1_197_031,HGB_1_197_029
HGB_1_203_033,HGB_1_203_032
HGB_1_203_034,HGB_1_203_032
HGB_1_204_026,HGB_1_204_027
HGB_1_204_026,HGB_1_204_025
HGB_1_204_052,HGB_1_204_051
HGB_1_204_053,HGB_1_204_051
HGB_1_204_013,HGB_1_204_014
HGB_1_204_013,HGB_1_204_012
HGB_1_206_006,HGB_1_206_007
HGB_1_206_008,HGB_1_206_007
HGB_1_215_035,HGB_1_215_034
HGB_1_215_035,HGB_1_215_036
